job_title,company_name,location,salary,job_url,source_site,search_keyword,organization_type,gtelp_relevance,collection_date,collection_time
"스크랩코스닥 상장사 ㈜딜리 해외기술영업지원, 해외영업팀(디지털프레스) 담당자 모집㈜딜리경기 동두천시 외 3전기·전자·제어, 해외영업, IT·기술영업, 영업관리즉시 지원경력•명절선물/명절상여 지원,운동시설09/15(월) 등록•10/31(금) 마감",딜리 해외기술영업지원,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47696974?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=1&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"많은 지원자가 선택한 인기 공고스크랩㈜유니온 경력 채용 [해외영업,수출입,무역]㈜유니온서울 중구금속·재료·자재, 관세사, 무역사무원, 제품영업홈페이지 지원경력2년↑•장기근속 포상제도,기숙사 지원,상해보험,식사 지원10/13(월) 등록•10/26(일) 마감","해외영업,수출입,무역",서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47833969?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=2&sc=630,잡코리아,해외영업,Financial,Medium-High,2025-10-21,15:26:47
"탄탄한 중견기업스크랩㈜경승 R&D / 해외영업 경력 채용경승서울 강남구 외 9섬유·의류·패션, 유통관리자, 무역사무원, 해외영업즉시 지원경력1년↑10/13(월) 등록•11/12(수) 마감",경승 R,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47832975?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=3&sc=630,잡코리아,해외영업,Trading,Medium-High,2025-10-21,15:26:47
"신입 지원 가능스크랩2025년 10월 신입사원 수시채용(주)삼양홀딩스경기 성남시화학·에너지·환경, 마케팅기획, CRM마케터, 해외영업홈페이지 지원신입10/15(수) 등록•10/26(일) 마감",기관명 미상,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47856840?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=5&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"신입 지원 가능스크랩[블랙루즈] BM, 패키지 디자이너, 해외영업지원 (신입/경력)직원 채용㈜디엠앤씨서울 금천구 외 14생활화학·화장품, 경영·비즈니스기획, 마케팅기획, 브랜드마케터즉시 지원신입·경력•유연근무,포상제도,쾌적한 업무공간10/17(금) 등록•11/16(일)",블랙루즈,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47873315?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=6&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"신입 지원 가능스크랩해외영업팀 상시채용코비코광주 광산구자동차·조선·철강·항공, 해외영업, 영업관리, 영업지원홈페이지 지원신입·경력09/19(금) 등록•상시채용",기관명 미상,광주,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47734454?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=7&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"신입 지원 가능스크랩각 부문 신입/경력사원 모집한국유나이티드제약㈜서울 외 8제약·보건·바이오, 제품영업, 해외영업, 법인영업홈페이지 지원신입·경력10/16(목) 등록•10/26(일) 마감",서울 외 8제약,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47863682?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=8&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"스크랩글로벌 사업부 해외영업팀 화장품 코스메틱 해외영업 담당자㈜이에스인터네셔널서울 강남구생활화학·화장품, 제품영업, 해외영업, 영업지원즉시 지원경력5년↑09/10(수) 등록•상시채용",사업부,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47677164?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=9&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"스크랩코스메틱 화장품 해외 1명 고객관리 해외영업관리 해외영업지원㈜코윈바이오경기 성남시생활화학·화장품, 해외영업, 영업관리, 영업지원즉시 지원경력무관10/14(화) 등록•11/13(목) 마감",코윈바이오경기 성남시생활화학,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47849004?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=10&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"탄탄한 중견기업스크랩해외영업팀 영업인력 채용엠케이전자㈜경기 용인시전기·전자·제어, 제품영업, 해외영업즉시 지원경력10년↑10/13(월) 등록•10/31(금) 마감",경기 용인시전기,경기,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47799126?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=11&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"신입 지원 가능스크랩[테스] 해외영업팀 채용㈜테스서울 강남구제약·보건·바이오, 제품영업, 서비스영업, 해외영업즉시 지원신입·경력10/13(월) 등록•11/12(수) 마감",테스서울 강남구제약,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47838633?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=12&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"합격축하금 50만원스크랩해외영업팀 사원㈜제이티충남 천안시반도체·디스플레이·광학, 해외영업즉시 지원경력09/25(목) 등록•10/25(토) 마감",제이티충남 천안시반도체,충남,50만원,https://www.jobkorea.co.kr/Recruit/GI_Read/47765646?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=13&sc=630,잡코리아,해외영업,Trading,Low,2025-10-21,15:26:47
"스크랩[경력] 해외영업팀 해외영업 담당 채용에이치엘엠씨서울 중구백화점·유통·도소매, 유통관리자, 무역사무원, 해외영업즉시 지원경력1년↑10/20(월) 등록•11/19(수) 마감",기관명 미상,서울,급여협의,https://www.jobkorea.co.kr/Recruit/GI_Read/47887131?Oem_Code=C1&logpath=1&stext=%ED%95%B4%EC%99%B8%EC%98%81%EC%97%85&listno=14&sc=630,잡코리아,해외영업,Trading,Medium-High,2025-10-21,15:26:47
